STOCK_CODE;COMPANY;SECTOR;SECOND_SECTOR; STOCK_PRICE ;STOCK_TYPE; VALUATION ;STOCK_AVAILABLE_AMOUNT;AVG_21_NEGOCIATION;DIVIDEND_PERIOD;DIVIDEND_LAST_PRICE;DIVIDEND_TOTAL_VALUE_SHARED;NET_PROFIT;DIVIDEND_YELD;AVG_PAYOUT_12_MONTHS;AVG_PAYOUT_5_YEARS;MAJOR_SHARE_HOLDER
TRPL3;TRANSMISSÃƒO PAULISTA - CTEEP-CIA TRANSM ENERGIA ELÃ‰TR. PAULISTA;Energia ElÃ©trica;Energia ElÃ©trica; R$69,00 ;ON; R$11.365.700.000,00 ;164721000;51108.0;0.0;46.157;206.799.292.936.803;1328930000.0;0.182;1.556.134;0.0;Vinci Equities Gestora de Recursos Ltda
TRPN3;TARPON INV - TARPON INVESTIMENTOS S.A.;Holdings Diversificadas;Holdings Diversificadas; R$2,15 ;ON; R$97.395.000,00 ;45300000;78187.0;0.0;0.0534;2551439.4;1977860.0;0.024;1.29;0.0;Mangue ParticipaÃƒÂ§ÃƒÂµes Ltda.
TSEP3;TELE SUDESTE CELULAR PART SA - TELE SUDESTE CELULAR PARTICIPAÃ‡Ã•ES SA;;; R$40,00 ;ON; R$3.673.240.000,00 ;91831000;0.0;0.0;0.0;0.0;111150000.0;0.0;0.0;0.0;
TSPP3;VIVO PARTICIPAÃ‡Ã•ES - VIVO PARTICIPAÃ‡Ã•ES S/A;Telefonia MÃ³vel;Telefonia MÃ³vel; R$12,60 ;ON; R$5.049.000.000,00 ;400714000;0.0;0.0;0.0;0.0;2933480000.0;0.0;0.0;0.0;
TVIT3;TIVIT - TIVIT TERC. DE PROC., SERV. E TEC. S.A.;Programas e ServiÃ§os;Programas e ServiÃ§os; R$19,30 ;ON; R$1.717.510.000,00 ;88990000;0.0;0.0;0.0;0.0;73214000.0;0.0;0.0;0.0;
TXRX3;RENAUX - TEXTIL RENAUXVIEW S.A.;Tecidos, VestuÃ¡rio e CalÃ§ados;Fios e Tecidos; R$3,30 ;ON; R$14.054.700,00 ;4259000;245.0;0.0;0.0;0.0;-53801000.0;0.0;0.0;0.0;D & D ADMINISTRADORA DE BENS LTDA
UBBR3;UNIBANCO SA - UNIBANCO UNIAO BANCOS BRAS SA;Financeiros;Bancos; R$18,00 ;ON; R$49.219.500.000,00 ;2734420000;0.0;0.0;0.0;0.0;33560000.0;0.0;0.0;0.0;
UCAS3;UNICASA - UNICASA INDÃšSTRIA DE MÃ“VEIS S.A.;Utilidades DomÃ©sticas;MÃ³veis; R$2,63 ;ON; R$173.806.000,00 ;66086000;296101.0;0.0;0.3943;0.0;-3014000.0;0.0;0.0;0.0;UV Gestora de Ativos Financeiros Ltda
UGPA3;ULTRAPAR PARTICIPAÃ‡Ã•ES SA - ULTRAPAR PARTICIPAÃ‡Ã•ES SA;Holdings Diversificadas;Holdings Diversificadas; R$50,19 ;ON; R$27.926.000.000,00 ;556405000;132259000.0;0.0;0.56;811.113.915.797.872;1047670000.0;0.029;0.774207;0.0;AcoesTesouraria
UNIP3;UNIPAR PARTICIPAÃ‡Ã•ES S.A. - UNIPAR PARTICIPAÃ‡Ã•ES S.A.;QuÃ­micos;PetroquÃ­micos; R$37,56 ;ON; R$3.423.440.000,00 ;91146000;549268.0;0.0;11.639;205.441.741.016.949;484068000.0;0.06;0.424407;0.0;Eduardo Livio Valaretto
