STOCK_CODE,COMPANY,SECTOR,SECOND_SECTOR,STOCK_PRICE,STOCK_TYPE,VALUATION,STOCK_AVAILABLE_AMOUNT,AVG_21_NEGOCIATION,DIVIDEND_PERIOD,DIVIDEND_LAST_PRICE,DIVIDEND_TOTAL_VALUE_SHARED,NET_PROFIT,DIVIDEND_YELD,AVG_PAYOUT_12_MONTHS,AVG_PAYOUT_5_YEARS,MAJOR_SHARE_HOLDER
PEAB3,"CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA - CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA","Previdência e Seguros",Seguradoras,40.000000,ON,514000000.000000,12850000.000000,9800.000000,0,3.134600,40149265.822785,30498000.000000,0.078000,1.316456,0.000000,
PEFX3,"PETROFLEX INDÚSTRIA E COMÉRCIO S.A - PETROFLEX INDÚSTRIA E COMÉRCIO S.A.",Químicos,Petroquímicos,19.000000,ON,668610000.000000,35190000.000000,0.000000,0,0.000000,0.000000,-12847000.000000,0.000000,0.000000,0.000000,
PETR3,"PETROBRAS - PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS","Petróleo, Gás e Biocombustíveis","Exploração e/ou Refino e Distribuição",27.510000,ON,358854000000.000000,13044500000.000000,325403000.000000,0,0.120000,3218670000.000000,18200000000.000000,0.009000,0.176850,0.000000,"BNDES + FPS"
PFRM3,"PROFARMA - PROFARMA DISTRIB PROD FARMACEUTICOS S.A.","Comércio e Distribuição",Medicamentos,4.000000,ON,495252000.000000,123813000.000000,702194.000000,0,0.133400,0.000000,-37409000.000000,0.000000,0.000000,0.000000,"BMK Participações S/A"
PINE3,"Pine - BANCO PINE S/A",Financeiros,Bancos,0.000000,ON,0.000000,121172000.000000,0.000000,0,0.000000,0.000000,17315000.000000,0.000000,0.000000,0.000000,"DEG-DEUTSCHE INVESTITIONS - UND ENTWICKLUNGSGESELLSCHAFT MBH"
PLAS3,"PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A - PLASCAR PARTICIPAÇÕES INDUSTRIAIS S.A","Material de Transporte","Material Rodoviário",8.980000,ON,111576000.000000,12425000.000000,7763.000000,0,0.015300,0.000000,-95136000.000000,0.000000,0.000000,0.000000,"Postalis Inst. Seguridade Social dos Correios e Telegraf."
PMAM3,"PARANAPANEMA S.A. - PARANAPANEMA SA","Siderurgia e Metalurgia","Artefatos de Cobre",1.390000,ON,962394000.000000,692370000.000000,1334140.000000,0,0.075800,0.000000,-473381000.000000,0.000000,0.000000,0.000000,
PMET3,"PRO METALURG - PRÓ METALURGIA S.A.","Viagens e Lazer",Bicicletas,0.000000,ON,0.000000,72410000000.000000,0.000000,0,0.000000,0.000000,-11928000.000000,0.000000,0.000000,0.000000,
PNVL3,"PANVEL FARMÁCIAS - DIMED SA DISTRIBUIDORA DE MEDICAMENTOS","Comércio e Distribuição",Medicamentos,310.000000,ON,1408020000.000000,4542000.000000,123917.000000,0,0.184900,19708239.099859,64574000.000000,0.014000,0.305204,0.000000,"GF GESTÃO DE RECURSOS LTDA"
POMO3,"MARCOPOLO - MARCOPOLO SA","Material de Transporte","Material Rodoviário",3.430000,ON,3173420000.000000,925196000.000000,232085.000000,0,0.021000,98926042.352941,153220000.000000,0.032000,0.645647,0.000000,"T.ROWE PRICE ASSOCIATES"
POSI3,"POSITIVO INF - POSITIVO INFORMATICA S.A.","Computadores e Equipamentos","Computadores e Equipamentos",2.410000,ON,211598000.000000,87800000.000000,284829.000000,0,0.025700,0.000000,-43587000.000000,0.000000,0.000000,0.000000,"Isabela Cesar Formighieri"
PQUN3,"PETROQUIMICA UNIAO S.A. - PETROQUIMICA UNIAO SA",Químicos,Petroquímicos,15.440000,ON,1617390000.000000,104753000.000000,0.000000,0,0.000000,0.000000,15505000.000000,0.000000,0.000000,0.000000,
PRBC3,"Parana - PARANA BANCO S.A.",Financeiros,Bancos,0.000000,ON,0.000000,81444100.000000,0.000000,0,0.000000,0.000000,205530000.000000,0.000000,0.000000,0.000000,
PRIO3,"PETRORIO - PETRO RIO S.A.","Petróleo, Gás e Biocombustíveis","Exploração e/ou Refino e Distribuição",104.660000,ON,1395850000.000000,13337000.000000,8103140.000000,0,0.000000,0.000000,128056000.000000,0.000000,0.000000,0.000000,
PRML3,"PRUMO - PRUMO LOGÍSTICA S.A.",Transporte,"Serviços de Apoio e Armazenagem",11.520000,ON,4331720000.000000,376017000.000000,0.000000,0,0.000000,0.000000,-983202000.000000,0.000000,0.000000,0.000000,
PRTX3,"PORTX - CENTENNIAL ASSET PARTICIP. SUDESTE S.A.",Transporte,"Serviços de Apoio e Armazenagem",2.770000,ON,2749100000.000000,992456000.000000,0.000000,0,0.000000,0.000000,-85196000.000000,0.000000,0.000000,0.000000,
PRVI3,"Providencia - COMPANHIA PROVIDENCIA IND E COMERCIO","Materiais Diversos","Materiais Diversos",10.540000,ON,845150000.000000,80185000.000000,0.000000,0,0.224300,0.000000,-71993000.000000,0.000000,0.000000,0.000000,
PSSA3,"PORTO SEGURO SA - PORTO SEGURO SA","Previdência e Seguros",Seguradoras,48.220000,ON,15589200000.000000,323293000.000000,34074400.000000,0,1.546600,1309830830.569106,1193260000.000000,0.084000,1.097691,0.000000,"Porto Seguro Itau-Unibanco Participações S.A."
PTBL3,"PORTOBELLO S/A - PORTOBELLO S/A","Construção e Engenharia","Materiais de Construção",5.350000,ON,847916000.000000,158489000.000000,2407200.000000,0,0.018900,31641317.750000,31969000.000000,0.037000,0.989750,0.000000,"César Gomes Júnior"
PTIP3,"IPIRANGA PETROQUIMICA SA - IPIRANGA PETROQUIMICA SA","Petróleo, Gás e Biocombustíveis","Distribuição de Combustíveis",22.000000,ON,0.000000,0.000000,0.000000,0,0.000000,0.000000,189854000.000000,0.000000,0.000000,0.000000,
PTNT3,"PETTENATI - PETTENATI SA IND TEXTIL","Tecidos, Vestuário e Calçados","Fios e Tecidos",7.010000,ON,336806000.000000,48046500.000000,36.000000,0,0.124900,7141647.800000,20375600.000000,0.021000,0.350500,0.000000,"CLUBE DE INVESTIMENTOS SOL"
PTPA3,"PETROPAR SA - PETROPAR SA",Embalagens,Embalagens,76.500000,ON,1368360000.000000,17887000.000000,0.000000,0,0.559100,0.000000,370752000.000000,0.000000,0.000000,0.000000,
QGEP3,"QGEP PART - QGEP PARTICIPAÇÕES S.A.","Petróleo, Gás e Biocombustíveis","Exploração e/ou Refino e Distribuição",11.050000,ON,2937170000.000000,265807000.000000,9890940.000000,0,1.536300,409274218.459459,492957000.000000,0.139000,0.830243,0.000000,Administradores
QUAL3,"QUALICORP - QUALICORP S.A.",Saúde,"Serviços Médico - Hospitalares, Análises e Diagnósticos",13.480000,ON,3817230000.000000,283177000.000000,31971100.000000,0,0.363000,205593934.273381,392592000.000000,0.054000,0.523683,0.000000,"Earnest Partners, LLC"
RADL3,"RAIADROGASIL - RAIA DROGASIL S.A.","Comércio e Distribuição",Medicamentos,57.380000,ON,18957500000.000000,330386000.000000,83916700.000000,0,0.017900,208701476.114650,519125000.000000,0.011000,0.402025,0.000000,"Alexande de Zagottis"
