"STOCK_CODE";"COMPANY";"SECTOR";"SECOND_SECTOR";"STOCK_PRICE";"STOCK_TYPE";"VALUATION";"STOCK_AVAILABLE_AMOUNT";"AVG_21_NEGOCIATION";"DIVIDEND_PERIOD";"DIVIDEND_LAST_PRICE";"DIVIDEND_TOTAL_VALUE_SHARED";"NET_PROFIT";"DIVIDEND_YELD";"AVG_PAYOUT_12_MONTHS";"AVG_PAYOUT_5_YEARS";"MAJOR_SHARE_HOLDER"
"BECE3";"BEC - BANCO DO ESTADO DO CEARA S/A BEC";"";"";9.1;"ON";8414680000.0;92469000.0;0.0;0.0;0.0;0.0;-246262000.0;0.0;0.0;0.0;""
"BEEF3";"Minerva - MINERVA S/A";"Alimentos";"Carnes e Derivados";4.91;"ON";18495300000.0;376687000.0;12058900.0;0.0;0.2643;0.0;-1486070000.0;0.0;0.0;0.0;"FMR LLC"
"BEES3";"BANESTES S/A - BANESTES SA BANCO ESTADO ESPIRITO SANTO";"Financeiros";"Bancos";4.14;"ON";13078800000.0;315913000.0;94527.0;0.0;0.0029;78866157.966102;187323000.0;0.06;0.421017;0.0;"Outros"
"BELG3";"BELGO - COMPANHIA SIDERÚRGICA BELGO-MINEIRA";"";"";1375.5;"ON";8954410000.0;650993000.0;0.0;0.0;0.0;0.0;2508410000.0;0.0;0.0;0.0;""
"BEMA3";"Bematech - BEMATECH IND COM EQUIP ELETRONICOS SA";"Computadores e Equipamentos";"Computadores e Equipamentos";10.8;"ON";5569340000.0;51568000.0;0.0;0.0;0.1585;0.0;36355000.0;0.0;0.0;0.0;""
"BERG3";"BERGAMO - BERGAMO CIA INDUSTRIAL";"";"";33.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-9796000.0;0.0;0.0;0.0;""
"BESP3";"BANESPA - BANCO DO ESTADO DE SAO PAULO S.A. - BANESPA";"";"";330.0;"ON";127868000000.0;38747800000.0;0.0;0.0;0.0;0.0;1232260000.0;0.0;0.0;0.0;""
"BFIT3";"BANCO SUDAMERIS BRASIL SA - BANCO SUDAMERIS BRASIL SA";"";"";0.98;"ON";38127400000.0;3890550000.0;0.0;0.0;0.0;0.0;206183000.0;0.0;0.0;0.0;""
"BGIP3";"BANESE - BANCO ESTADO SERGIPE SA";"Financeiros";"Bancos";37.0;"ON";5655450000.0;15285000.0;299.0;0.0;0.2371;23766028.363636;84114000.0;0.042;0.282545;0.0;"Governo do Estado de Sergipe"
"BHGR3";"BHG - BHG S.A. - BRAZIL HOSPITALITY GROUP";"Exploração de Imóveis";"Exploração de Imóveis";19.1;"ON";11869000000.0;62141400.0;0.0;0.0;0.0;0.0;-4361000.0;0.0;0.0;0.0;""
"BICB3";"BicBanco - BANCO INDUSTRIAL E COMERCIAL S/A";"Financeiros";"Bancos";8.0;"ON";20232300000.0;252904000.0;0.0;0.0;0.0203;0.0;-859618000.0;0.0;0.0;0.0;""
"BIOM3";"BIOMM SA - BIOMM SA";"Saúde";"Medicamentos e Outros Produtos";8.41;"ON";4018550000.0;47783000.0;71991.0;0.0;0.0;0.0;-38473000.0;0.0;0.0;0.0;"Vinci Gas Fundo de Investimento em Ações"
