STOCK_CODE,COMPANY,SECTOR,SECOND_SECTOR,STOCK_PRICE,STOCK_TYPE,VALUATION,STOCK_AVAILABLE_AMOUNT,AVG_21_NEGOCIATION,DIVIDEND_PERIOD,DIVIDEND_LAST_PRICE,NET_PROFIT,DIVIDEND_YELD,AVG_PAYOUT_12_MONTHS,AVG_PAYOUT_5_YEARS,MAJOR_SHARE_HOLDER,ROE,ROE_5_YRS,GROSS_DEBT_OVER_EBTIDA,DIVIDEND_YIELD_5_YRS,HAS_DIVIDEND_SRD_5_YERS,HAS_DIVIDEND_GRWTH_5_YRS,HAS_NET_PROFIT_REG_5_YRS,DT_LAST_UPDATE
BBAS3,"Banco do Brasil S.A.","Financial Services","Banks - Regional - Latin America",51.200000,ON,337330000000.000000,2865417020.000000,10846233.333333,-1,0.077203,12862026000.000000,0.033800,0.201300,0.235667,"Secretaria Do Tesouro Nacional",0.150700,0.137100,-0.277100,0.052100,1,1,1,"2019-05-30 17:06:59"
ENBR3,"EDP - Energias do Brasil S.A.",Utilities,"Utilities - Regulated Electric",18.950000,ON,17630000000.000000,606850394.000000,2194090.476190,-1,0.724125,1272833000.000000,0.035700,0.578500,0.478356,"EDP International Investments And Services. S.l.",0.156400,0.139700,0.017300,0.059700,1,1,1,"2019-05-30 17:54:30"
ITUB3,"Itaú Unibanco Holding S.A.","Financial Services","Banks - Regional - Latin America",29.790000,ON,227520000000.000000,6582307543.000000,286795.238095,-1,0.015000,24907000000.000000,0.036900,0.427600,0.509810,"Iupar - Itaú Unibanco Participações S.A.",0.189000,0.212400,-0.424600,0.044200,1,1,1,"2019-05-30 18:16:21"
ITUB4,"Itaú Unibanco Holding S.A.","Financial Services","Banks - Regional - Latin America",34.720000,PN,272440000000.000000,6582307543.000000,19388014.285714,-1,0.015000,24907000000.000000,0.036900,0.427600,0.509810,"Iupar - Itaú Unibanco Participações S.A.",0.189000,0.212400,-0.424600,0.044200,1,1,1,"2019-05-30 18:16:32"
MRVE3,"MRV Engenharia e Participações S.A.","Consumer Cyclical","Residential Construction",17.000000,ON,7780000000.000000,444139684.000000,3598657.142857,-1,0.349988,690308000.000000,0.049600,0.225600,0.251070,"Rubens Menin Teixeira de Souza",0.143100,0.129900,0.026700,0.046000,1,1,1,"2019-05-30 18:32:43"
SAPR11,"Companhia de Saneamento do Paraná - SANEPAR",Utilities,"Utilities - Regulated Water",0.000000,ON,38840000000.000000,503735173.000000,0.000000,-1,0.000000,686172000.000000,0.061700,0.000000,0.368210,"Governo Do Estado Do Paraná",0.163800,0.126900,0.000000,0.089000,1,1,1,"2019-05-30 18:57:45"
SAPR3,"Companhia de Saneamento do Paraná - SANEPAR",Utilities,"Utilities - Regulated Water",16.200000,ON,11880000000.000000,503735173.000000,27814.285714,-1,0.296457,892487000.000000,0.060400,0.372700,0.366330,"Governo Do Estado Do Paraná",0.163800,0.135700,0.000000,0.083300,1,1,1,"2019-05-30 18:57:56"
SAPR4,"Companhia de Saneamento do Paraná - SANEPAR",Utilities,"Utilities - Regulated Water",12.700000,PN,9350000000.000000,503735173.000000,600771.428571,-1,0.326103,892487000.000000,0.060400,0.410000,0.366330,"Governo Do Estado Do Paraná",0.163800,0.135700,0.000000,0.083300,1,1,1,"2019-05-30 18:58:08"
