"CODE";"COMPANY";"SECTOR";"SECOND_SECTOR";"STOCK_PRICE";"STOCK_TYPE";"VALUATION";"STOCK_AVAILABLE_AMOUNT";"AVG_21_NEGOCIATION";"DIVIDEND_PERIOD";"DIVIDEND_LAST_PRICE";"DIVIDEND_TOTAL_VALUE_SHARED";"NET_PROFIT";"DIVIDEND_YELD";"AVG_PAYOUT_12_MONTHS";"AVG_PAYOUT_5_YEARS";"MAJOR_SHARE_HOLDER"
"BGIP3";"Banco do Estado de Sergipe S/A";"Finanças e Seguros";"";49.37;"ON";0.0;0.0;0.0;0.0;0.0;0.0;87991.0;0.0;0.0;0.0;""
"BHGR3";"BHG S/A - Brazil Hospitality";"Outros";"";19.04;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-6327.0;0.0;0.0;0.0;""
"BICB3";"Banco Industrial e Comercial S/A";"Finanças e Seguros";"";5.5;"ON";0.0;0.0;0.0;0.0;0.0;0.0;108820.0;0.0;0.0;0.0;""
"BIOM3";"Biomm S/A";"Outros";"";7.98;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-698.0;0.0;0.0;0.0;""
"BISA3";"Brookfield Incorporações S/A";"Construção";"";2.07;"ON";0.0;0.0;0.0;0.0;0.0;0.0;31183.0;0.0;0.0;0.0;""
"BMEB3";"Bco Mercantil Brasil S/A";"Finanças e Seguros";"";16.75;"ON";0.0;0.0;0.0;0.0;0.0;0.0;55027.0;0.0;0.0;0.0;""
"BMIN3";"Bco Mercantil de Investimentos S/A";"Finanças e Seguros";"";1.1;"ON";0.0;0.0;0.0;0.0;0.0;0.0;5431.0;0.0;0.0;0.0;""
"BMKS3";"Bicicletas Monark S/A";"Veículos e peças";"";340.04;"ON";0.0;0.0;0.0;0.0;0.0;0.0;3005.0;0.0;0.0;0.0;""
"BMTO3";"Brasmotor S/A";"Eletroeletrônicos";"";0.97;"ON";0.0;0.0;0.0;0.0;0.0;0.0;262672.0;0.0;0.0;0.0;""
"BNBR3";"Banco do Nordeste do Brasil S/A";"Finanças e Seguros";"";21.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;508363.0;0.0;0.0;0.0;""
"BOBR3";"Bombril S/A";"Química";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;6253.0;0.0;0.0;0.0;""
"BPAR3";"Banco do Estado do Para S/A";"Finanças e Seguros";"";18.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;129022.0;0.0;0.0;0.0;""
"BPNM3";"Banco Panamericano S/A";"Finanças e Seguros";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-603926.0;0.0;0.0;0.0;""
"BRAP3";"Bradespar S/A";"Outros";"";20.79;"ON";0.0;0.0;0.0;0.0;0.0;0.0;223356.0;0.0;0.0;0.0;""
"BRFS3";"BRF - Brasil Foods S/A";"Alimentos e Bebidas";"";49.18;"ON";0.0;0.0;0.0;0.0;0.0;0.0;813227.0;0.0;0.0;0.0;""
"BRGE3";"Consorcio Alfa de Administracao S/A";"Outros";"";3.38;"ON";0.0;0.0;0.0;0.0;0.0;0.0;63154.0;0.0;0.0;0.0;""
"BRIV3";"Banco Alfa de Investimento S/A";"Finanças e Seguros";"";6.74;"ON";0.0;0.0;0.0;0.0;0.0;0.0;96912.0;0.0;0.0;0.0;""
"BRKM3";"Braskem S/A";"Química";"";13.14;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-731143.0;0.0;0.0;0.0;""
"BRML3";"BR Malls Participacoes S/A";"Outros";"";23.91;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1925524.0;0.0;0.0;0.0;""
"BRPR3";"BR Properties S/A";"Construção";"";22.13;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1216399.0;0.0;0.0;0.0;""
"BRSR3";"Banco do Estado do Rio Grande do Sul S/A";"Finanças e Seguros";"";15.43;"ON";0.0;0.0;0.0;0.0;0.0;0.0;818590.0;0.0;0.0;0.0;""
"BRTO3";"Brasil Telecom S/A";"Telecomunicações";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;865054.0;0.0;0.0;0.0;""
"BSLI3";"BRB-Banco de Brasilia S/A";"Finanças e Seguros";"";29.9;"ON";0.0;0.0;0.0;0.0;0.0;0.0;215389.0;0.0;0.0;0.0;""
"BTOW3";"B2W Companhia Global do Varejo";"Comércio";"";12.08;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-181190.0;0.0;0.0;0.0;""
"BTTL3";"Battistella Adm e Partic S/A - Apaba";"Comércio";"";0.89;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-24016.0;0.0;0.0;0.0;""
"BUET3";"Buettner S/A - Industria e Comercio";"Têxtil";"";24.99;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-3948.0;0.0;0.0;0.0;""
"BVMF3";"BMF Bovespa S/A Bolsa de Valores Mercadorias e Futuros";"Finanças e Seguros";"";14.37;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1074290.0;0.0;0.0;0.0;""
"CAFE3";"Cafe Soluvel Brasilia S/A";"Alimentos e Bebidas";"";2.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;334631.0;0.0;0.0;0.0;""
"CALI3";"Const Adolpho Lindenberg S/A";"Construção";"";126.01;"ON";0.0;0.0;0.0;0.0;0.0;0.0;3031.0;0.0;0.0;0.0;""
"CAMB3";"Cambuci S/A";"Têxtil";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;305.0;0.0;0.0;0.0;""
"CARD3";"Csu Cardsystem S/A";"Outros";"";2.73;"ON";0.0;0.0;0.0;0.0;0.0;0.0;22195.0;0.0;0.0;0.0;""
"CASN3";"Cia Catarinense de Aguas e Saneamento - Casan";"Outros";"";4.12;"ON";0.0;0.0;0.0;0.0;0.0;0.0;21418.0;0.0;0.0;0.0;""
"CATA3";"Companhia Industrial Cataguases";"Têxtil";"";0.0;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1815.0;0.0;0.0;0.0;""
"CBAG3";"Cia Bandeirantes Arms Gerais";"Outros";"";70.01;"ON";0.0;0.0;0.0;0.0;0.0;0.0;1385.0;0.0;0.0;0.0;""
"CBEE3";"Ampla Energia e Servicos S/A";"Energia Elétrica";"";1.59;"ON";0.0;0.0;0.0;0.0;0.0;0.0;55178.0;0.0;0.0;0.0;""
"CBMA3";"Cobrasma S/A";"Veículos e peças";"";0.05;"ON";0.0;0.0;0.0;0.0;0.0;0.0;-145775.0;0.0;0.0;0.0;""
"CCHI3";"Ceramica Chiarelli S/A";"Minerais não Metálicos";"";0.13;"ON";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;""
"CCIM3";"Camargo Correa Desenv. Imobiliario S/A";"Construção";"";5.52;"ON";0.0;0.0;0.0;0.0;0.0;0.0;68660.0;0.0;0.0;0.0;""
"CCPR3";"Cyrela Commercial Properties S/A Emp Part";"Outros";"";24.16;"ON";0.0;0.0;0.0;0.0;0.0;0.0;153035.0;0.0;0.0;0.0;""
"CCRO3";"Companhia de Concessoes Rodoviarias";"Transporte e Serviços";"";19.8;"ON";0.0;0.0;0.0;0.0;0.0;0.0;239010.0;0.0;0.0;0.0;""
"CEBR3";"Cia Energia de Brasilia";"Energia Elétrica";"";19.99;"ON";0.0;0.0;0.0;0.0;0.0;0.0;10359.0;0.0;0.0;0.0;""
