STOCK_CODE,COMPANY,SECTOR,SECOND_SECTOR,STOCK_PRICE,STOCK_TYPE,VALUATION,STOCK_AVAILABLE_AMOUNT,AVG_21_NEGOCIATION,DIVIDEND_PERIOD,DIVIDEND_LAST_PRICE,NET_PROFIT,DIVIDEND_YELD,AVG_PAYOUT_12_MONTHS,AVG_PAYOUT_5_YEARS,MAJOR_SHARE_HOLDER,ROE,ROE_5_YRS,GROSS_DEBT_OVER_EBTIDA,DIVIDEND_YIELD_5_YRS,HAS_DIVIDEND_SRD_5_YERS,HAS_DIVIDEND_GRWTH_5_YRS,HAS_NET_PROFIT_REG_5_YRS,DT_LAST_UPDATE
ABEV3,"Ambev S.A.",Bebidas,"Cervejas e Refrigerantes",17.160000,ON,269792000000.000000,15722100000.000000,18590000.000000,0,0.160000,10783700000.000000,0.031800,0.806000,0.962412,,0.205800,0.252000,-0.003500,0.047900,1,0,0,"2019-01-29 00:45:46"
CIEL3,"Cielo S.A.","Serviços Financeiros Diversos","Serviços Financeiros Diversos",10.680000,ON,29015600000.000000,2716820000.000000,13770000.000000,0,0.529600,3660700000.000000,0.126200,0.896600,0.476721,,0.263700,0.573700,0.000000,0.030900,1,1,1,"2019-01-29 00:46:06"
CCRO3,"CCR S.A.",Transporte,"Exploração de Rodovias",14.280000,ON,28845600000.000000,2020000000.000000,8380000.000000,0,0.396000,1418850000.000000,0.051900,0.837500,0.867318,,0.144800,0.348600,0.028200,0.050300,1,1,1,"2019-01-29 00:46:02"
ECOR3,"EcoRodovias Infraestrutura e Logística S.A.",Transporte,"Exploração de Rodovias",11.170000,ON,6240670000.000000,558699000.000000,2800000.000000,0,0.372800,411544000.000000,0.080200,0.767600,154.447127,,0.555100,0.154000,0.027500,0.077700,1,1,1,"2019-01-29 00:46:16"
EGIE3,"Engie Brasil Energia S.A.","Energia Elétrica","Energia Elétrica",42.000000,ON,34269000000.000000,815928000.000000,1350000.000000,0,0.000000,2257460000.000000,0.088600,0.934100,0.588841,,0.342800,0.258600,0.016700,0.054500,1,0,1,"2019-01-29 00:46:17"
ITSA3,"Itaúsa - Investimentos Itaú S.A.",Financeiros,Bancos,14.540000,ON,122292000000.000000,8410700000.000000,105800.000000,0,0.015000,8871000000.000000,0.086100,0.826600,0.315156,,0.168000,0.190400,0.000900,0.056300,1,1,1,"2019-01-29 00:46:30"
BRKM3,"Braskem S.A.",Químicos,Petroquímicos,48.800000,ON,38904300000.000000,797219000.000000,1400.000000,0,1.885700,3331330000.000000,0.049900,0.750700,0.525538,,0.506700,0.311800,0.014800,0.044300,1,0,1,"2019-01-29 00:45:58"
